,date,lat_and_long,GTOA_Protocol,Boat_Type,Boat_Length,Towing_Inflatable,Trailing_Fishing_Lure,Physical_Contact_With_Boat,Number_of_Adult_Orcas,Number_of_Juvenile_Orcas,Number_of_Uncertain_Age_Orcas,Rudder,Motoring_or_Sailing,Speed_Knots,Sea_State,Wind_Speed_Beaufort,Daylight_or_Darkness,Cloud_Cover,Distance_Off_Land_NM,Depth_Meters,Depth_Gauge,Autopilot,Hull_Topsides_Color,Antifoul_Color,Boat_Damaged,Tow_Required,Crew_Response,Orcas_Behaviour
10,2023-07-07 22:30:00,"36 3.6600 N, 5 56.3720 W","No, did not follow protocol, interaction lasted 10 to 30 minutes",Sail,Over 15m,Not towing,No,Yes,1,2,2,Full skeg,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Night,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Coppercoat,"Yes, moderate - immediate repairs required",No,"The encounter took place 1 hour after sunset. the first indication was the wheel moving violently and Valent veering off course. Whilst there was a remaining bit of twilight, we did not see any Orcas before we felt the wheel being knocked. After that we saw them quite clearly. I took over hand steering after the first hit and felt the occasional knock. For 5 minutes the Orcas swam alongside the boat, sometimes diving back down under. After 5 mins we had some violent hits on the rudder. Then a few more minutes of swimming alongside. The stayed very much towards the aft end of the boat. After around 10 minutes the Orcas left. After another 5 minutes I went below to fix and to prepare a radio report. Whilst getting my information together the Orcas returned and we took some big hits to our rudder area. We were on autohelm for the first hit and then I was hand steering. The second interaction only lasted a few minutes but was more violent. During the first encounter we tried pumping out the black water tank that had been prefilled with a bleach solution. This was not effective and if anything provoked some of the hits. During all of the encounters we continued to motor sail and did try to close land. The engine was running and engaged the whole time and we had just the mainsail up.","Whilst the interaction was unwelcome and at times worrying, the overall impression I got was one of playfulness/inquisitiveness."
11,2023-07-02 18:50:00,"35 54.327 N, 5 16.312 W","No, did not follow protocol, interaction lasted 10 to 30 minutes",Sail,10 - 12.5m,Not towing,No,Yes,3,2,6,Spade,Motoring,3 - 4,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,0 - 2,40 - 200m,On,Off,White/light,Black,"Yes, extensive - major works required",No,"We were just a few hundred meters from Punta Almina coming from Motril in a mirror less straight line and we're heading to Ceuta for rest .When we first saw the orcas they were well ahead a possible interaction, they were coming from the Moroccan coast exiting towards the Strait. We decided to stop engine and hope they would disappear but instead they turn quickly towards us and the first Orca hit our rudder violently causing the first and single loss of part of the rudder ( about 30 cm x 50cm) . We decided to motor astern to which they responded by trying to make us turn around . We made at least 8/10 turns ( GPS tracking picture will follow). The encounter lasted about 20 minutes . We were lucky our rudder is a reinforced one with metal skeleton which prevented more dents or damage and I even think they themselves could have suffered minor cuts as the bottom part of the metal was showing ( pictures) . However they managed to turn our rudder ( tiller handed) 360 degrees causing damage to the top connection as the force applied was extreme . Just before they left one of them did make a last trial to break more rudder and suddenly they all disappeared at the same time showing a great coordination . They left towards the Strait and we headed to Ceuta . Salvage operation was on its way but we aborted same as had propulsion and manoeuvrability. We waiting for a sailing yacht just coming from the Moroccan coast towards the Strait to warn them not to continue and head for Ceuta .","Very aggressive, very coordinated . The youngest were just witnessing the scene while adults were constantly trying to turn our boat 360 . The first wave of attack was punctuated by a release of air which really left us with the impression they first wanted to intimidate us."
12,2023-06-30 00:05:00,"36 23.4230 N, 6 26.1190 W","Yes, followed protocol, interaction lasted less than 10 minutes",Sail,10 - 12.5m,Not towing,No,Yes,0,0,2,Spade,Motorsailing,3 - 4,Calm,0 - 2 (0 - 6 knots),Night,0 - 25%,5 - 10,40 - 200m,On,Off,Dark colour,Blue,"Yes, moderate - immediate repairs required",No,"We were two boats sailing together around 200..300 m apart. Leading boat was hit first at 00:05 . We were furling the head sail when the attack started. We stopped the boat, however the engine was still running in neutral. There was no time to drop the main sail (I did not want to have crew on the deck during the attack) but at the time of the attack the wind was dropping down to almost zero so the boat was stationery. I deployed sand when heard them around the stern but this had a temporary effect only. They returned almost immediately after the sand dispersed in water. The sound of the fog horn was the most effective to make them go away. I waited a few minutes, went to check the other boat and ordered to go to Cádiz to check the damages. On our way to Cádiz, at 00:50, both boats were attacked again (36°25.435'N 6°25.007'W). Again the fog horn made them go away.","Attacks was performed without warning. One orca hit the rudder a few times while the other swam around, rubbed against the hull and rammed the boat a few times. The boat has been spun around 360° and they turned their attention to the rudder again. They swam very close to the boat and we could hear them breathing. The rudder was hit a couple of times and they went away to hit the other boat. The whole incident lasted 7-8 minutes."
13,2023-06-25 21:00:00,"36 57.0000 N, 8 9.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,12.5 - 15m,Not towing,No,Yes,0,0,3,Twin rudder,Motoring,5 - 7,Calm,5 - 6 (17 - 27 knots),Dusk,0 - 25%,5 - 10,40 - 200m,On,Off,White/light,Blue,"Yes, moderate - immediate repairs required",No,Engine turned to neutral and 3x firecrackers released,"First hit was from behind with no warning. Once firecrackers were released they moved away and stalked us 100-200m away for 4-5mins then they returned and continued battering the rudders. We released 3 more firecrackers and they immediately retreated. 20 mins before the attack, another vessel, a catermaran went past us at close range motoring due east - we were heading west-north-west. 10 mins after our attack we saw the catermaran releasing firecrackers as well so it seems that straight after our attack they sought out another vessel to attack."
14,2023-06-26 15:20:00,"37 23.0880 N, 9 3.6340 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,12.5 - 15m,Not towing,No,Yes,2,5,7,Spade,Motorsailing,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,5 - 10,40 - 200m,On,Off,White/light,White,No,No,daytime,"waxing
53% illuminated"
15,2023-06-25 14:15:00,"36 57.5010 N, 7 49.0120 W","Yes, followed protocol, interaction lasted 30 to 60 minutes",Sail,Over 15m,Not towing,No,Yes,0,0,3,Spade,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,0 - 2,40 - 200m,On,On,White/light,Blue,"Yes, moderate - immediate repairs required",Yes,"We were motoring at 6.5 knots with mainsail deployed to smooth the rolling motion of the seas. We sighted the orca only minutes before they attacked. They came straight for us and the start of the interaction was to hit the rudder. This occurred approximately 1415. We immediately went off auto-pilot, put the engine to idle and stowed the mainsail. We then went in reverse at a speed of 3 knots (as suggested to us by sailors attacked in 2022). Reverse was not a deterrent. We put the engine in neutral and let it run. We stayed in the cockpit the entire attack. We called a Pan-Pan on VHF at approximately 1430. At approximately 1500, the rudder became disabled. The orca left once the rudder assembly was broken (jammed at 15° left rudder). Via radio communication with a nearby sailing catamaran, they had attacked her immediately after attacking us. They had one rudder disabled but were planning to find safe harbor in Vilamoura, PT. We're uncertain if they succeeded or not.","Single focus intent. They did not bother with any other part of the boat other than the rudder. While it is hard to determine the exact composition of the pod. It appeared that while there were three orca present, the largest one was the most aggressive and forceful with the rudder."
16,2023-06-25 15:05:00,"36 57.0000 N, 7 49.0000 W","Yes, followed protocol, interaction lasted less than 10 minutes",Sail,10 - 12.5m,Not towing,No,Yes,1,0,0,Twin rudder,Motoring,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,40 - 200m,On,Off,White/light,Red,"Yes, moderate - immediate repairs required",No,"In 0.5m distance to another yacht we received their PAN PAN call (because they had an orca interaction). At the same moments we saw 1 Orca heading towards our boat. We put the thrust on idle, Autopilot off. Ca. 1 Min later we saw the Orca about 100m away approaching our boat. Shortly after that, we felt one single designated bump on the hull. After 30 sec. a second designated hull bump happened. After that the Orca was not seen anymore. After waiting 5 Min we tested our rudder and found it completely stuck. Thus we were not able to give assistance to the other yacht. As a catamaran we are still fully able to maneouver and decided to proceed without distress call, heading to Marina Villamoura now.","After damaging the Rudder on the other yacht 1 Orca dived directly to our nearby boat. 2 dedicated assertive bumps on our hull blocked the rudder system of our sailing catamaan. After that, the 1 Orca dissapeared."
17,2023-01-03 00:00:00,"36 2.5020 N, 9 8.4590 W","No, did not follow protocol, interaction lasted 10 to 30 minutes",Sail,Over 15m,Not towing,No,Yes,1,0,0,Spade,Sailing,8 - 11,Rough,5 - 6 (17 - 27 knots),Night,50 - 75%,Over 10,200m+,On,On,Dark colour,Coppercoat,No,No,"This happened at midnight, seas 2.5 m, rough sea state, going 10 knots boat speed. Was not safe to stop the boat as recommended. After the first strike which was obvious by the violant shaking of the steering, I proceeded to take my fog horn to the below water hull inner surface. By the time I made it to that position, the Orcas has struck two more times for a total of three times. I saw one of the Orcas as it come up to the water surface on the stern of the boat. I placed the fog horn against the hull surface below the water line (hand held gas fog horn that most people have on their boat) and pressed the leaver a couple of times. I waited to see what would happen and they did not strike again. We are not sure if this is because we scared them off or because they were done with us. We were very nervous for the next two hours but to our surprised, they did not come back.","We did not see their response other then after our response, they did not come back."
18,2023-06-09 03:45:00,"35 53.4800 N, 5 39.8520 W","Yes, followed protocol, interaction lasted 10 to 30 minutes",Sail,12.5 - 15m,Not towing,No,Yes,2,1,4,Spade,Sailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Night,25 - 50%,2 - 5,200m+,On,On,White/light,Blue,No,No,"We are reporting an attack/interaction with 3-4 Orcas. This occurred on 9th June’23 @ 03.45hrs, as we were in the Gibraltar straights, outside edge of the shopping lane (heading in to the Med.) We followed protocol, attempted to move away after approx 10 minutes but within a few minutes they attacked again. Again turned everything off, sat low & quiet and waited it out. After another 10-15 minutes we unfurled our Genoa and sailed away. We contacted all ships to notify, as we were drifting in a shipping Lane. We contacted 112 but no answer. We fortunately appear to have sustained no damage and were able to continue our journey. We are on a 42’ Monohull.",They attacked the rudder.
19,2023-06-03 07:10:00,"36 7.0000 N, 6 3.0000 W","Yes, followed protocol, interaction lasted 10 to 30 minutes",Sail,Over 15m,Not towing,No,Yes,1,0,0,3 - 4,Moderate,3 - 4 (7 - 16 knots),Day,0 - 25%,Over 10,200m+,On,On,White/light,Black,"Yes, extensive - major works required",No,Linked to 141 and 142. Details to follow,daytime,"waxing
99% illuminated
within 3 days of full",Within 3 days of spring tide
20,2023-06-03 04:30:00,"36 2.0000 N, 6 13.0000 W","Yes, followed protocol, interaction lasted 10 to 30 minutes",Sail,Over 15m,Not towing,No,Yes,0,0,5,5 - 7,Moderate,3 - 4 (7 - 16 knots),Dawn,0 - 25%,Over 10,200m+,On,On,White/light,Black,"Yes, moderate - immediate repairs required",No,Linked to 141 and 143. Details to follow,before dawn,"waxing
99% illuminated
within 3 days of full",Not within 3 days of springs
21,2023-06-02 20:45:00,"36 2.0000 N, 6 57.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,Over 15m,Not towing,No,No,0,0,5,5 - 7,Calm,0 - 2 (0 - 6 knots),Dusk,0 - 25%,Over 10,200m+,On,On,White/light,Black,No,No,Linked to 142 and 143. Details to follow,dusk twilight,"waxing
98% illuminated
within 3 days of full",Not within 3 days of springs
22,2023-05-15 00:10:00,"36 3.0000 N, 5 55.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,10 - 12.5m,Not towing,No,Yes,1,2,0,Twin rudder,Motorsailing,3 - 4,Calm,0 - 2 (0 - 6 knots),Night,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Blue,"Yes, minor - will wait until the end of the season",No,"L'interaction n'a pas été violente mais nous avons subi des coups sur les gouvernails, pendant environ 5 minutes, à peine. Les coups étaient en puissance plutôt qu'en violence, mais le bateau changeait de cap. Il n'y a aucune trace de morsure, mais au final, l'un des gouvernails a été tordu. // The interaction was not violent, but we suffered blows on the rudders, for about 5 minutes, barely. The blows were more powerful than violent, but the boat was changing course. There are no bite marks, but in the end, one of the rudders was bent.","Calmes, aucune agressivité.// Calm, no aggression."
23,2023-05-15 00:10:00,"36 3.0000 N, 5 55.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,10 - 12.5m,Not towing,No,Yes,1,2,0,Twin rudder,Motorsailing,3 - 4,Calm,0 - 2 (0 - 6 knots),Night,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Blue,"Yes, minor - will wait until the end of the season",No,"L'interaction n'a pas été violente mais nous avons subi des coups sur les gouvernails, pendant environ 5 minutes, à peine. Les coups étaient en puissance plutôt qu'en violence, mais le bateau changeait de cap. Il n'y a aucune trace de morsure, mais au final, l'un des gouvernails a été tordu. // The interaction was not violent, but we suffered blows on the rudders, for about 5 minutes, barely. The blows were more powerful than violent, but the boat was changing course. There are no bite marks, but in the end, one of the rudders was bent.","Calmes, aucune agressivité.// Calm, no aggression."
24,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
25,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
26,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
27,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
28,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
29,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
30,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
31,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
32,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
33,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
34,2022-07-22 15:20:00,"36 8.0000 N, 6 1.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Motor,Over 15m,Not towing,No,Yes,1,2,0,Twin rudder,Motoring,8 - 11,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,No,No,Orcas appeared off our starboard bow came round the rear of the boat and targeted the rudders. Felt the impact when they hit. Can not see damage at the minute but will check in port. We were cruising at about 8-9kts. Accelerated to our top speed of 22kts and out run them.,Aggressive targeting of the rudders.
